Ел,Вакыйга,Яшь,Урын,Персонажлар,Вакыйга төре,Цитата,Чыганак(бит)
1935,"Татарстан АССР Ворошилов районының (1957 елдан Яңа Юл районы, 1959 елдан Сарман районы, 1976 елдан Тукай районы)авылында алты балалы гаиләдә төпчек бала булып Илһам Гыйльметдин улы Шакиров туа.",0,Яңа Бүләк,"Әтисе, әнисе",туу,,Туу таныклыгында Сарман районы дип язып калдырылган
1938,Беренче җырлау хатирәләре,3,Яңа Бүләк,"Туганнары, күршеләре",хатирә,,33
1941,Абыйсын Имаметдин сугышака озаталар,6,Яңа Бүләк,Имам Шакиров,югалту,,34
1945,Ф. Йосыпов белән беренче очрашу,10,Яңа Бүләк,Ф. Йосыпов,очрашу,,173
1945,Тегермәнгә арыш тарттырырга бару. Гаделсезлек белән очрашу,10,,Тегермәнче,кичереш,,210
1947,Чабата сату күренеше,12,,,кичереш,,213
1951,Халык алдында чыгышы. Урман кызы җыр,16,Теләнче Тамак,,чыгыш,,400
1954,Мәктәптә тәмам. Укырга керү,19,"Теләнче Тамак, Алабуга, Казан",Клара Мостафина,уку,,
1957,Сентябрь аенда Г. Сөләйманова белән радиоконцертлар бирү,22,Казан,Г. Сөләйманова,концерт,,46
1958,Башка берни дә кирәкми җыры туы,23,,"Мансур Мозаффаров, Сибгат Хәким",җыр,,43
1959,Чыгыш ясау,24,"Мәскәү, Чайковский залы",,чыгыш,,4
1959,Яшь җырчылар конкурсында катнашу,24,,,конкурс,,48
1959,Керфекләрең синең нигә кара җыры,24,,,җыр,,162
1959,Татар артистлары белән беренче танышулар,24,"Мәскәү, М. Щепкин исемендәге театр училищисе","Рабит Батулла, Ринат Таҗи, башкалар",очрашу,,216
1959,Җәй айларында Татарстан авыллары буйлап сәяхәт,24,Татарстан,"Рабит Батулла, Ринат Таҗи",сәяхәт,,217
1960,Фәттах Латыйпов кичәсендә катнашу,25,Казан,Фәттах Латыйпов,"чыгыш, очрашу",,47
1960,Консерваторияны тәмамлау. Филармонияга эшкә керү,25,Казан,Елена Абросимова,"тәмамлау, эшкә керү",,63
1960,Туган җирем - Татарстан җыры туа,25,,"Александр Ключаров, Гөлшат Зәйнәшева",җыр,,73
1961,Урман кызы янәдән,26,,,чыгыш,,401
1962,Һаман истә җыры,27,,Ләбиб Айтуган,җыр,,162
1964,Татарстан атказанган артисты исеме,29,,,исем алу,,
1965,"Китмә, сандугач җыры",30,,"Рөстәм Яхин, Гөлшат Зәйнәшева",җыр,,73
1965,гыйнварь Ташкент гастроль,30,Ташкент,,гастроль,,368
1966,Натан Рахлин оркестры белән җырлый башлау,31,Казан,Натан Рахлин,чыгыш,,11
1966,Тукай юбилеенда җырлау,31,,,чыгыш,,-
1966,Җәлил юбиленнда җырлау,31,,,чыгыш,,12
1967,Абыйсы белән концерт уздыру,32,,,концерт,,47
1967,Бөтенсоюз телевидеонисында чыгыш ясау,32,,,чыгыш,,63
1967,Агарту лекциясе укыла,32,,Шамиль Закиров,лекция,,220
1967,Урта Азия концерт гастрольләре,32,Урта Азия шәһәрләре,,гастроль,,222
1968,Финляндияда гастрольлар,33,Финляндия шәһәрләре,"Рөстәм Яхин, Марат Әхмәтов, Айрат Арслан, Оркыя Ибраһимова, Венера Шарипова",гастроль,,
1968,Безнең авыл җыры,33,,,җыр,,164
1968,Стәрлетамак җирләрендә гастроль белән,33,Стәрлетамак,Хәмдүнә Тимергалиева,гастроль,,345
1968,Разил Вәлиев белән танышу. Дулкын җыры,33,Мәскәү,Разил Вәлиев,"танышу, җыр",,506
1969,Татар халык җырлары концертын тапшыру,34,,"Ренат Еники, Сәйдәш Гарифуллин",концерт,,55
1969,ТАССР халык артисты исеме,34,,,исем алу,,
1971,Партия обкомы Кунаев белән сөйләшү,36,,Кунаев,очрашу,,18
1972,Концерт белән чыгыш,37,Мәскәү,Ростропович,чыгыш,,26
1973,Җырчы китабы,38,Казан,Равил Фәхретдинов,китаб,,87
1974,Кыргызстан гастрольләре,39,Кыргызстан,,гастроль,,101
1980,Мелодияда Туган моңнар альбомы чыга(1986 дөресе),45,,Рамил Курамшин,альбом,,420
1989,"Уян, татар җыры туа",54,,-,җыр,,349
1989,Мәңгәлеккә китеп барам җыры,54,,,җыр,,458
1992,М. Мозаффаров турында радиотапшыру,57,,"Шәмсия Җиһангирова, Мансур Мозаффаров",тапшыру,,376
1993,Ике Илһам Шакиров җырлый,58,,,чыгыш,,23
1999,Булачак ансамбль турында мәк-се,64,,,мәкалә,,423
2002,Беренче туган концерты елы,67,,,концерт,,437
"1972,1975,1978",Финляндияда гастрольлар,#VALUE!,,,гастроль,,408
утыз ел элек,Әлмәттә гастроль белән булу,#VALUE!,,"Аяз Гыйләҗев, Кирам Сатиев",гастроль,,328
1947,Сәхнәдә беренче тапкыр җырлавы,12,Теләнче Тамак,Марс Гаитов,чыгыш,,506
1957,Зур сәхнәдә беренче чыгышы. Зәңгәр шәл спектаклендә Кара урман ариясын башкара,22,"Казан, Кәрим Тинчурын театры",,чыгыш,,
1960,Менәргә иде Урал тауларына җыры,25,,"Гөлшат Зәйнәшева, Мансур Мозаффаров",җыр,,Марс Гаитов мәк-се